日期,證券代號,證券名稱,序號,券商,價格,買進股數,賣出股數
2002/03/11,3034,novatek,162,111E,430.00,2000,0
2002/03/11,3034,novatek,163,111E,430.50,2000,0
2002/03/11,3034,novatek,164,111E,431.00,0,1000
2002/03/11,3034,novatek,165,111E,431.50,0,4000
2002/03/11,3034,novatek,166,111G,429.00,0,1000
2002/03/11,3034,novatek,167,111G,430.50,1000,0
2002/03/11,3034,novatek,168,1160,422.00,0,1000
2002/03/11,3034,novatek,169,1160,425.00,1000,0
2002/03/11,3034,novatek,170,1160,426.00,0,13000
2002/03/11,3034,novatek,171,1160,426.50,1000,30000
2002/03/11,3034,novatek,172,1160,428.00,0,200
2002/03/11,3034,novatek,173,1160,429.00,0,1170
2002/03/11,3034,novatek,174,1160,430.00,0,1008
2002/03/11,3034,novatek,175,1160,431.50,0,1000
2002/03/11,3034,novatek,176,1161,429.00,0,100
2002/03/11,3034,novatek,177,1161,431.50,0,1000
2002/03/11,3034,novatek,178,1162,426.00,0,10
2002/03/11,3034,novatek,179,1162,428.00,0,1020
2002/03/11,3034,novatek,180,1162,428.50,0,1010
2002/03/11,3034,novatek,181,1162,429.00,1000,10
2002/03/11,3034,novatek,182,1162,429.50,0,200
2002/03/11,3034,novatek,183,1163,428.00,0,25
2002/03/11,3034,novatek,184,1163,430.00,0,50
2002/03/11,3034,novatek,185,1163,431.50,0,8000
2002/03/11,3034,novatek,186,1165,422.00,0,1000
2002/03/11,3034,novatek,187,1165,422.50,0,1000
2002/03/11,3034,novatek,188,1165,423.00,0,1000
2002/03/11,3034,novatek,189,1165,426.00,0,2000
2002/03/11,3034,novatek,190,1165,426.50,0,1000
2002/03/11,3034,novatek,191,1165,427.50,0,2000
2002/03/11,3034,novatek,192,1165,429.00,0,200
2002/03/11,3034,novatek,193,1165,430.00,0,2000
2002/03/11,3034,novatek,194,1165,430.50,0,4000
2002/03/11,3034,novatek,195,1165,431.00,0,2000
2002/03/11,3034,novatek,196,1165,431.50,0,10000
2002/03/11,3034,novatek,197,1166,423.50,0,1000
2002/03/11,3034,novatek,198,1166,427.00,0,250
2002/03/11,3034,novatek,199,1166,428.00,0,10
2002/03/11,3034,novatek,200,1166,428.50,0,1000
2002/03/11,3034,novatek,201,1166,429.50,0,30
2002/03/11,3034,novatek,202,1166,430.00,50,0
2002/03/11,3034,novatek,203,1166,431.00,2000,0
2002/03/11,3034,novatek,204,1167,428.50,0,1000
2002/03/11,3034,novatek,205,1167,429.50,27,1000
2002/03/11,3034,novatek,206,1167,430.00,0,2000
2002/03/11,3034,novatek,207,1167,430.50,0,1000
2002/03/11,3034,novatek,208,1168,429.00,0,20
2002/03/11,3034,novatek,209,1168,429.50,0,100
2002/03/11,3034,novatek,210,1169,429.50,100,0
2002/03/11,3034,novatek,211,1169,430.00,0,1000
2002/03/11,3034,novatek,212,1169,430.50,0,1000
2002/03/11,3034,novatek,213,1169,431.00,0,1000
2002/03/11,3034,novatek,214,1169,431.50,0,1000
2002/03/11,3034,novatek,215,116A,422.00,0,1000
2002/03/11,3034,novatek,216,116A,428.00,0,5000
2002/03/11,3034,novatek,217,116A,429.00,0,1150
2002/03/11,3034,novatek,218,116A,430.00,200,0
2002/03/11,3034,novatek,219,116b,427.50,0,1
2002/03/11,3034,novatek,220,116b,428.00,0,60
2002/03/11,3034,novatek,221,116b,430.00,0,1100
2002/03/11,3034,novatek,222,116b,431.00,0,1000
2002/03/11,3034,novatek,223,116b,432.00,1000,0
2002/03/11,3034,novatek,224,116B,425.00,3000,0
2002/03/11,3034,novatek,225,116B,427.50,0,3000
2002/03/11,3034,novatek,226,116B,429.50,1000,30
2002/03/11,3034,novatek,227,116B,430.00,0,5200
2002/03/11,3034,novatek,228,116B,431.00,0,1000
2002/03/11,3034,novatek,229,116B,431.50,4000,0
2002/03/11,3034,novatek,230,116C,429.50,1000,20
2002/03/11,3034,novatek,231,116C,430.00,0,1100
2002/03/11,3034,novatek,232,116C,430.50,0,1000
2002/03/11,3034,novatek,233,116C,431.00,2000,2000
2002/03/11,3034,novatek,234,116C,431.50,0,1000
2002/03/11,3034,novatek,235,116d,428.00,0,150
2002/03/11,3034,novatek,236,116d,429.50,0,100
2002/03/11,3034,novatek,237,116e,425.00,1000,2000
2002/03/11,3034,novatek,238,116e,430.00,0,1000
2002/03/11,3034,novatek,239,116E,430.00,0,1
2002/03/11,3034,novatek,240,116f,422.00,0,1000
2002/03/11,3034,novatek,241,116f,428.00,5000,0
2002/03/11,3034,novatek,242,116f,431.00,0,2000
2002/03/11,3034,novatek,243,116F,422.00,0,1000
2002/03/11,3034,novatek,244,116F,425.00,1000,0
2002/03/11,3034,novatek,245,116F,425.50,0,100
2002/03/11,3034,novatek,246,116F,428.50,0,1000
2002/03/11,3034,novatek,247,116F,430.00,0,1000
2002/03/11,3034,novatek,248,116g,431.00,0,2000
2002/03/11,3034,novatek,249,116G,426.50,0,1000
2002/03/11,3034,novatek,250,116G,428.00,0,8000
2002/03/11,3034,novatek,251,116G,429.00,2000,0
